,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,doubleFold
183,24.348,18.277,0.032576,0.048976,2261.1,4.79,26.0,55.3,2.125,18.08,57.9,6.0
184,19.842,17.558,0.0289,0.034386,2423.1,4.435,23.0,48.6,2.12,20.24,64.9,2.0
185,16.731,13.263,0.036714,0.04382,1798.1,4.52,30.0,63.5,2.118,18.35,58.8,10.0
186,23.754,15.328,0.045586,0.057472,1120.6,5.055,41.5,81.8,1.97,15.44,49.5,10.0
187,24.571,15.79,0.041398,0.047278,2130.6,5.085,30.8,70.2,2.275,19.0,60.9,10.0
188,33.962,29.982,0.05173,0.07921,2367.1,5.185,46.3,91.8,1.985,15.55,49.8,10.0
189,28.545,29.134,0.040918,0.054962,3319.1,4.87,28.1,62.8,2.236,17.69,56.7,3.0
190,27.365,25.873,0.040684,0.051954,3168.4,4.795,28.1,63.4,2.257,19.8,63.5,2.0
191,14.805,14.592,0.019078,0.02013,,4.28,22.1,48.2,2.179,14.45,46.3,1.0
192,22.676,19.503,0.034764,0.047792,2525.7,4.87,24.9,56.0,2.247,18.08,58.0,4.0
193,22.033,21.087,0.034592,0.041298,2027.5,4.505,30.9,67.0,2.166,15.02,48.2,8.0
194,24.499,22.176,0.036952,0.047306,2476.1,4.665,37.4,80.2,2.145,12.94,41.5,8.0
195,28.739,23.407,0.039606,0.061102,2810.7,4.48,23.9,57.4,2.407,20.27,65.0,3.0
196,27.351,20.277,0.035844,0.045808,2724.9,4.22,20.0,44.6,2.232,23.38,74.9,1.0
197,31.015,23.061,0.034354,0.050248,2983.4,4.62,22.1,52.8,2.388,21.23,68.1,1.0
198,34.789,30.819,0.04245,0.06168,3388.2,4.59,23.5,85.7,3.654,20.54,65.8,3.0
199,32.942,26.02,0.058034,0.083662,1874.1,4.62,36.4,94.8,2.6,22.8,73.1,10.0
200,32.718,29.953,0.056044,0.07558,2451.0,4.65,48.5,87.0,1.794,15.12,48.5,10.0
201,34.501,29.306,0.048692,0.080548,2142.2,4.73,62.0,106.5,1.72,9.86,31.6,10.0
202,29.285,24.573,0.053362,0.071986,1869.7,4.68,47.4,88.8,1.872,16.62,53.3,10.0
203,29.266,28.602,0.059932,0.083886,1951.5,4.74,52.7,99.2,1.882,15.76,50.5,10.0
204,43.966,29.446,0.05688,0.10765,2156.9,5.03,35.0,125.4,3.585,17.15,55.0,2.0
205,29.424,17.701,0.042342,0.062702,1828.1,5.16,46.0,88.3,1.919,14.8,47.4,10.0
206,36.401,23.358,0.041254,0.06983,1845.5,4.94,28.8,67.0,2.325,16.22,52.0,5.0
207,21.603,17.24,0.027254,0.037748,3047.1,4.36,21.0,68.6,3.266,13.26,42.5,2.0
208,33.924,32.329,0.052904,0.081334,2930.7,4.89,42.4,84.5,1.994,14.3,45.8,10.0
209,16.232,19.367,0.03429,0.038388,2501.4,4.545,49.4,74.8,1.516,4.44,14.2,10.0
210,15.201,13.689,0.02073,0.022244,,4.265,20.3,47.0,2.31,11.39,36.5,1.0
211,33.967,26.927,0.04498,0.063208,2843.4,4.975,30.0,78.4,2.612,17.88,57.3,10.0
212,19.388,18.678,0.025374,0.03216,2877.4,4.39,17.8,47.0,2.642,21.27,68.2,2.0
213,24.926,17.612,0.030932,0.041406,3101.7,4.285,19.5,42.0,2.155,22.61,72.5,2.0
214,34.395,24.463,0.040208,0.072884,3259.3,4.76,32.0,82.7,2.58,14.64,46.9,4.0
215,22.208,21.086,0.032426,0.042366,3265.3,4.795,29.0,65.3,2.252,10.49,33.6,3.0
216,29.693,17.815,0.037832,0.05177,2210.9,4.735,25.0,54.8,2.192,20.76,66.5,2.0
217,46.044,28.764,0.047208,0.095306,2231.0,4.785,27.1,65.2,2.411,9.68,31.0,6.0
218,28.492,28.901,0.035652,0.053988,3068.7,4.59,21.3,52.2,2.452,20.76,66.5,2.0
219,26.733,25.776,0.034866,0.051626,3174.5,4.845,44.2,90.6,2.049,10.34,33.1,10.0
220,32.804,25.234,0.037344,0.056012,2917.0,4.61,22.1,52.3,2.368,20.25,64.9,3.0
221,30.651,25.923,0.040768,0.057354,3160.6,4.735,21.2,53.3,2.509,18.63,59.7,7.0
222,17.397,19.551,0.02989,0.034656,3555.6,4.38,22.2,49.3,2.221,14.53,46.6,3.0
223,10.155,8.703,0.015986,0.014588,,4.305,26.9,48.7,1.81,9.38,30.1,3.0
224,30.074,27.7,0.043556,0.065146,3031.0,4.69,20.8,41.7,2.002,7.93,25.4,10.0
225,26.948,27.444,0.039328,0.05321,3567.4,4.78,21.9,64.2,2.936,14.92,47.8,10.0
226,16.687,15.114,0.031498,0.0351,2768.1,4.445,25.8,55.7,2.161,11.62,37.2,3.0
227,22.582,21.058,0.03052,0.039486,,4.445,23.3,52.3,2.247,11.7,37.5,3.0
228,25.632,24.307,0.039076,0.04738,3342.4,4.695,29.6,77.1,2.604,11.05,35.4,2.0
229,12.44,10.094,0.014766,0.011928,,4.285,30.6,59.3,1.94,7.42,23.8,2.0
230,28.406,26.549,0.035912,0.048404,3513.7,4.415,26.6,89.6,3.371,10.89,34.9,2.0
231,21.438,20.276,0.03035,0.04034,3686.8,4.36,23.6,74.5,3.16,11.94,38.3,2.0
232,40.232,35.084,0.043626,0.066932,3253.3,4.52,32.0,75.4,2.353,14.17,45.4,2.0
233,40.722,35.71,0.0435,0.073252,3441.5,4.52,26.5,79.9,3.012,13.53,43.4,2.0
234,40.035,28.854,0.05877,0.12353,2453.9,4.395,49.2,108.5,2.203,18.11,58.1,10.0
235,34.006,27.218,0.040712,0.050282,3154.9,4.81,20.2,60.5,2.99,16.54,53.0,9.0
236,44.875,58.135,0.062648,0.10181,2734.2,5.6,38.5,126.2,3.275,14.4,46.2,10.0
237,41.787,32.939,0.05395,0.083764,2631.1,4.935,37.0,160.0,4.328,10.57,33.9,10.0
238,16.947,20.215,0.029972,0.03349,2817.4,4.67,23.5,126.0,5.363,14.34,46.0,5.0
239,38.336,20.955,0.037068,0.06136,2502.4,4.5,24.0,101.4,4.218,19.98,64.0,2.0
240,34.682,27.233,0.040526,0.056626,2969.5,4.66,25.9,59.7,2.301,17.5,56.1,4.0
241,25.876,23.065,0.039314,0.046528,2973.3,4.725,23.3,61.1,2.625,17.04,54.6,10.0
242,36.502,19.803,0.036446,0.051994,2565.8,4.46,23.0,119.1,5.178,22.4,71.8,2.0
243,28.752,24.109,0.035298,0.04715,2977.7,4.385,26.2,87.0,3.315,13.26,42.5,2.0
244,33.007,30.001,0.053202,0.076288,2176.7,6.43,50.7,128.4,2.533,7.68,24.6,10.0
245,37.858,31.089,0.05594,0.07706,1961.7,6.495,29.4,96.2,3.271,8.41,27.0,10.0
246,34.874,30.118,0.046286,0.067184,2037.9,4.79,24.9,66.0,2.647,22.66,72.6,8.0
247,34.421,26.104,0.045182,0.059586,1985.4,4.375,37.0,114.8,3.104,8.94,28.6,2.0
248,19.782,19.178,0.03045,0.038494,2342.5,4.455,23.9,55.0,2.301,15.66,50.2,6.0
249,39.024,25.338,0.04165,0.062202,2445.1,4.41,20.4,94.2,4.614,21.75,69.7,2.0
250,34.228,21.804,0.035276,0.056532,2690.4,4.26,29.9,97.7,3.268,17.33,55.5,2.0
251,48.581,26.634,0.04512,0.079506,2720.4,4.515,18.1,52.6,2.903,31.72,101.7,3.0
252,24.919,19.123,0.035084,0.04519,2800.4,4.375,21.9,69.6,3.173,19.65,63.0,2.0
253,29.654,30.328,0.03296,0.049622,3978.3,4.495,18.5,50.0,2.701,13.17,42.2,2.0
254,22.392,20.202,0.032156,0.038756,3198.5,4.405,26.9,63.5,2.357,11.39,36.5,2.0
255,13.196,15.559,0.023194,0.022154,2805.8,4.325,27.8,74.1,2.661,11.41,36.6,3.0
