,publisher,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec
149,Funk & Wagnalls,24.307,17.742,0.029538,0.0435,3270.3,4.345,18.9,41.9,2.215,9.79,31.4
150,Funk & Wagnalls,24.388,18.422,0.034448,0.049402,2672.6,4.79,25.6,54.1,2.11,9.64,30.9
151,Funk & Wagnalls,25.471999999999998,23.171999999999997,0.034088,0.050814,2853.5,4.795,16.8,39.2,2.33,8.99,28.8
152,G. Munro's Sons,35.015,29.885,0.042672,0.059314,2946.5,4.63,22.8,65.8,2.892,23.13,74.1
153,G. Munro's Sons,38.424,28.334,0.041398000000000004,0.066696,2723.1,5.2,29.0,75.0,2.588,19.92,63.8
154,G. Munro's Sons,36.934,33.211,0.038919999999999996,0.07134800000000001,3219.8,5.335,39.0,73.9,1.895,11.33,36.3
155,G. Munro's Sons,41.949,29.253,0.040406,0.071998,2959.0,4.385,16.0,39.0,2.437,10.6,34.0
156,G. Munro's Sons,40.111,29.32,0.033833999999999996,0.06770599999999999,2943.8,4.95,16.4,50.4,3.073,19.22,61.6
157,G. Reimer,28.406,26.549,0.035912,0.048404,3513.7,4.415,26.6,89.6,3.3710000000000004,10.89,34.9
158,G. Reimer,21.438000000000002,20.276,0.03035,0.04034,3686.8,4.36,23.6,74.5,3.16,11.94,38.3
159,G. Reimer,30.3,25.647,0.038848,0.05621,3139.7,4.595,24.6,88.1,3.575,12.51,40.1
160,G. Reimer,29.445,25.705,0.038938,0.05764,3383.8,4.555,31.5,59.6,1.893,6.7,21.5
161,G. Reimer,29.82,30.369,0.041027999999999995,0.053746,3853.5,4.54,39.0,142.0,3.638,12.92,41.4
162,G. Reimer,27.855999999999998,27.854,0.042026,0.057744000000000004,4127.0,4.65,36.1,82.8,2.29,8.86,28.4
163,G. Richards,29.607,16.389,0.039580000000000004,0.052489999999999995,1999.7,4.53,32.7,113.1,3.46,11.18,35.8
164,G. Richards,36.391999999999996,18.442999999999998,0.038572,0.054698000000000004,2062.4,4.47,25.2,94.3,3.742,11.77,37.7
165,G. Richards,29.229,14.63,0.033072000000000004,0.046312,1958.0,4.35,20.9,89.6,4.284,18.92,60.7
166,G. Richards,20.784000000000002,11.649000000000001,0.027083999999999997,0.031208,2416.2,4.55,22.2,81.1,3.647,15.48,49.6
167,G. Routledge,15.055,18.27,0.035952,0.033742,2020.1,4.605,19.4,112.6,5.816,9.63,30.9
168,G. Routledge,15.362,19.213,0.017472,0.013914,2730.0,4.42,31.1,136.1,4.373,11.59,37.1
169,G. Routledge,16.947,20.215,0.029972000000000002,0.03349,2817.4,4.67,23.5,126.0,5.3629999999999995,14.34,46.0
170,G. Routledge,14.075,16.538,0.02279,0.020964,2111.1,4.645,26.7,97.6,3.657,10.13,32.5
171,G. Routledge,17.694000000000003,24.259,0.032724,0.036304,3267.8,4.52,38.0,137.9,3.633,9.78,31.4
172,G. Routledge,21.013,27.791,0.038306,0.049625999999999997,3979.3,4.62,38.3,177.3,4.63,12.91,41.4
173,G.P. Putnam,18.361,13.78,0.028192000000000002,0.029419999999999998,1505.6,5.12,26.6,53.3,2.0069999999999997,15.61,50.0
174,G.P. Putnam,18.797,14.508,0.035258,0.025366999999999997,1517.0,4.51,18.6,47.9,2.577,6.97,22.3
175,G.P. Putnam,26.47,21.079,0.039501999999999995,0.056982000000000005,1959.6,4.74,34.2,71.6,2.094,19.21,61.6
176,G.P. Putnam,26.254,21.48,0.04195,0.054038,1544.1,4.73,35.2,64.0,1.821,15.38,49.3
177,G.P. Putnam's Sons,23.255,26.203000000000003,0.041602,0.04682,3136.0,4.65,25.3,101.8,4.025,12.68,40.6
178,G.P. Putnam's Sons,25.570999999999998,31.498,0.042256,0.051696000000000006,4120.8,4.445,26.7,81.9,3.071,8.99,28.8
