,doubleFold,pH,sec_Mn,sec_Mw,sec_polydispersity,tens_energyAbsorp_avg,tens_maxLoad_avg,tens_strainMaxLoad_avg,tens_stressMaxLoad_avg,tens_thickness_avg,tens_youngsMod_avg
204,10.0,4.65,48.5,86.6,1.786,0.068786,25.52649,0.050255,22.495867,0.11,1971.610902
205,10.0,4.73,61.9,106.0,1.713,0.071921,28.481865,0.047226,24.408429,0.1166,1984.544702
206,10.0,4.68,47.4,88.4,1.863,0.071966,26.223004,0.050127,21.270542,0.1211,1772.023454
207,10.0,4.74,52.7,98.7,1.874,0.079554,25.614615,0.054609,24.842105,0.1033,1799.80598
208,2.0,5.03,26.6,106.5,4.005,0.089544,37.390703,0.047522,24.983739,0.1497,1833.551278
209,10.0,5.16,46.0,87.9,1.91,0.061283,24.729463,0.041173,14.875345,0.1662,1480.142142
210,5.0,4.94,28.9,66.8,2.311,0.069014,33.771509,0.041004,21.852504,0.1546,1726.277514
211,2.0,4.36,21.1,68.3,3.239,0.025628,17.816693,0.020805,14.178994,0.1258,2565.234515
212,10.0,4.545,45.8,72.1,1.573,0.025717,13.758489,0.02664,15.852102,0.0889,2033.698959
213,10.0,4.89,42.4,84.1,1.984,0.075659,26.865927,0.049831,26.722386,0.0956,2561.888102
214,1.0,4.265,20.4,46.8,2.296,0.014445,13.07906,0.016283,11.835856,0.1104,2844.881033
215,10.0,4.975,30.1,78.1,2.594,0.05967,26.22278,0.042009,20.615323,0.1245,2357.058819
216,2.0,4.39,17.9,46.9,2.624,0.026103,16.337548,0.023619,15.621658,0.1048,2257.923432
217,2.0,4.285,19.6,42.0,2.143,0.039688,21.139448,0.030112,14.941353,0.1415,2482.715914
218,4.0,4.76,32.1,82.3,2.563,0.051008,24.634103,0.033452,17.529065,0.1405,2535.334091
219,3.0,4.795,29.1,65.1,2.239,0.027692,16.65597,0.024827,15.748035,0.106,2460.3099
220,2.0,4.735,25.1,54.7,2.18,0.051172,25.517494,0.036085,15.438318,0.1648,1962.011068
221,2.0,4.59,21.4,52.0,2.437,0.046176,22.25392,0.034562,22.569307,0.0986,2647.72415
222,10.0,4.845,44.2,90.2,2.039,0.038333,19.993414,0.03027,19.236288,0.1041,2423.333394
223,3.0,4.61,22.2,52.2,2.354,0.052294,26.252779,0.036003,20.276402,0.1293,2541.277866
224,7.0,4.735,21.3,53.1,2.492,0.053996,24.091632,0.038576,20.420627,0.1179,2709.988992
225,3.0,4.38,22.3,49.1,2.208,0.024868,15.007662,0.0245,17.132251,0.0871,2820.332347
226,3.0,4.305,27.0,48.6,1.802,0.009551,9.108367,0.012692,7.885763,0.1154,2749.443055
227,10.0,4.69,20.9,41.6,1.992,0.060294,25.15038,0.042099,22.866795,0.1087,2630.01452
228,10.0,4.78,22.0,64.0,2.913,0.049518,21.405935,0.037927,21.803047,0.0982,2942.834549
229,3.0,4.445,23.4,52.2,2.234,0.023941,17.311647,0.021272,16.253487,0.1062,3425.110775
230,3.0,4.445,25.8,55.5,2.149,0.022294,14.112773,0.022128,12.785681,0.1103,2463.787925
231,2.0,4.285,30.6,59.1,1.931,0.008232,10.602304,0.012157,8.531281,0.1226,2294.1962
232,2.0,4.695,29.7,76.8,2.586,0.04555,20.827817,0.036726,19.913128,0.1046,2712.039655
233,2.0,4.415,26.7,89.1,3.342,0.046642,23.566964,0.034149,22.142914,0.1063,3135.994855
234,2.0,4.36,23.7,74.1,3.134,0.039172,19.573213,0.030282,18.611675,0.106,3280.540417
235,2.0,4.52,32.1,75.1,2.339,0.060532,29.329445,0.039687,25.672512,0.1141,2636.474005
236,2.0,4.52,26.6,79.5,2.988,0.066974,30.46742,0.040749,26.679099,0.1138,2766.273036
237,10.0,4.395,49.3,107.9,2.19,0.118805,35.8252,0.05646,25.634096,0.1393,2139.411834
238,9.0,4.81,20.3,60.3,2.967,0.049002,26.203645,0.036786,21.622973,0.1153,2485.606199
239,10.0,5.6,38.6,125.4,3.248,0.095742,34.037366,0.055514,43.751991,0.0771,2483.696111
240,10.0,4.935,37.1,158.7,4.284,0.081708,32.601863,0.046914,25.991515,0.1244,2217.171359
241,5.0,4.67,23.6,125.0,5.302,0.024399,14.575532,0.025533,17.073056,0.083,2251.397274
242,2.0,4.5,24.1,100.8,4.176,0.058263,32.07248,0.035613,17.410933,0.1848,2132.230694
243,4.0,4.66,26.0,59.5,2.287,0.052349,26.164347,0.039419,21.196191,0.1161,2521.045593
244,10.0,4.725,23.4,60.9,2.607,0.046167,20.888204,0.036483,18.645678,0.1115,2506.697717
245,2.0,4.46,23.1,118.3,5.12,0.05047,30.702524,0.033468,17.145969,0.1717,2292.812931
246,2.0,4.385,26.3,86.5,3.287,0.044248,23.244588,0.034731,20.287037,0.1086,2533.220916
247,10.0,6.43,44.9,115.2,2.567,0.071575,28.133391,0.048425,26.298254,0.1054,1975.161882
248,10.0,6.495,29.5,95.6,3.244,0.076165,29.396369,0.050562,24.531191,0.1164,1721.447102
249,8.0,4.79,25.0,65.8,2.629,0.064838,29.244671,0.044055,25.0352,0.1171,1587.630607
250,2.0,4.375,37.1,114.1,3.08,0.055148,26.793494,0.041284,19.751689,0.1328,1518.998025
251,6.0,4.455,24.0,54.8,2.288,0.027176,16.458946,0.025838,15.304412,0.1046,1864.27658
252,2.0,4.41,20.5,93.6,4.564,0.060492,30.782347,0.039054,20.637359,0.1422,2175.901795
253,2.0,4.26,30.0,97.1,3.24,0.052024,27.806722,0.034418,17.859724,0.1556,2309.246453
254,3.0,4.515,18.2,52.4,2.882,0.078965,40.074551,0.04139,22.364618,0.1788,2268.350368
255,2.0,4.375,22.0,69.2,3.147,0.043616,23.0574,0.033849,17.35816,0.1298,2463.640717
256,2.0,4.495,18.6,49.9,2.682,0.033513,22.316985,0.02594,22.631167,0.0991,3141.7681
257,2.0,4.405,27.0,63.2,2.343,0.033504,18.88935,0.029084,18.00992,0.0991,2823.047433
258,3.0,4.325,27.9,73.7,2.643,0.016465,11.79226,0.020293,13.904455,0.0848,2146.300574
259,8.0,4.305,27.7,62.9,2.273,0.023521,14.449147,0.022526,14.824422,0.0974,2431.856973
